DataLayer,Description
Aids to navigation,"Structures intended to assist a navigator to determine position or safe course, or to warn of dangers or obstructions to navigation. This dataset includes lights, signals, buoys, day beacons, and other aids to navigation. These data are intended for coastal and ocean use planning."
Armored Shore,"Armoring of the shoreline prohibits intertidal environments from migrating inland and encroaching onto existing uplands as sea level rises. While armoring protects upland property, it leads to degradation of intertidal ecosystems. Knowing the distribution of armored shorelines is a first step in addressing their impacts on the preservation of estuarine systems. This project maps the location of armored shorelines in the estuarine area of Georgia (defined as that region from the COLREGS limits in the sounds to Highway 17 or Interstate 95, whichever is farther west) and identifies the type of shoreline stabilization (i.e., seawall, revetment and other stabilization methods.)"
Causeways,"Causeways prohibit intertidal environments. While causeways allow access, the lead to degradation of intertidal ecosystems. Knowing the distribution of causeways is a first step in addressing their impacts on the preservation of estuarine systems. This project maps the location of causeways in the estuarine area of Georgia (defined as that region from the COLREGS limits in the sounds to Highway 17 or Interstate 95, whichever is farther west)."
Coastal Water Access Points,"The water access feature class was created to document publically accessible fishing and boating access sites within the eleven coastal counties of Georgia including Chatham, Effingham, Bryan, Liberty, Long, McIntosh, Glynn, Wayne, Charlton, Brantley, and Camden Counties. Access sites and information were collected from CRD shapefiles, Shawn Jordan at DNR Coastal Resources Division, The University of Georgia Marine Extension's ""A Visitor's Guide to Accessing Georgia's Coastal Resources"" and their ""Guide to Coastal Fishing in Georgia"" maps, Sites that were verified are denoted by date in the ""Verified"" field of the Attribute Table. Facilities that were known to be private, membership only, or otherwise excluded public access were not listed at the time of creation. Point location was placed approximately at the upland interface with the marsh or water. The points were verified at a 1:1000 scale using 2010 National Agriculture Imagery Program aerial images. Photographs linked to the files were taken on land by CRD Staff, provided by Shawn Jordan, or captured through available high resolution imagery. "
Danger Zones and restricted areas,
Dumping ground,
Electric Substations,Ga Power Substations
Navigable Waterway,"U.S. Army Corps of Engineers Navigable Waterway Network—Data provided and maintained by the USACE, 2012"
Ocean Dredging Material Disposal Sites,"""Disposal Areass in U.S. waters"" provides raster maps of the Disposal Areas designated by the Corps of Engineers for depositing dredged material where existing depths indicate that the intent is not to cause sufficient shoaling to create a danger to surface navigation. These areas are derived from NOAA's Electronic Navigational Charts. This service is a cartographic representation of marine source data based on S-57 data format and content specification This serivce is a cartographic representation of marine source data based on S-57 data format and content specification"
Power Lines,Electric transmission lines to accurately describe electric industry infrastructure.
Power Plants,Electric generating plants in North America to accurately describe electric industry infrastructure.
Shipping Fairways,"Various shipping zones delineating the activities of and regulations for marine vessel traffic. Traffic lanes define specific traffic flow, while traffic separation zones assist opposing streams of marine traffic. Precautionary areas represent areas where ships must navigate with caution, and shipping safety fairways designate where artificial structures are prohibited. Along certain zones of the East Coast of the United States, ships are also required to report vessel location within designated endangered species areas, such as the North Atlantic right whale."
Sunken Vessels,"The purpose of this dataset is to show the extent and location of abandoned vessels in Coastal Georgia waters.  Georgia DNR Coastal Resources Division staff obtained coordinates of the sunken vessels through field location and marked points using a GeoXH 2005 Series Pocket PC.  Coordinates were taken from the deck of the vessel where possible.  For additional information please contact Charles ""Buck"" Bennett at (912)264-7218."
Swimming Beaches,The purpose of this dataset is to show Georgia recreational swimming beaches where adjacent waters undergo bateriological sampling and analysis.  The Georgia Department of Natural Resources Coastal Resources Division is responible for monitoring.  More information can be found online at www.CoastalGADNR.org or http://water.epa.gov/type/oceb/beaches/beaches_index.cfm  
Unexploded areas,"Unexploded ordnance (or UXOs/UXBs, sometimes identified as UO) are explosive weapons (bombs, bullets, shells, grenades, land mines, naval mines, etc.) that did not explode when they were employed and still pose a risk of detonation, potentially many decades after they were used or discarded. While “UXO” is widely and informally used, munitions and explosives of concern (MEC) is the current preferred terminology within the remediation community. This is NOT a complete collection of unexploded ordnance on the seafloor, nor are the locations to be considered exact. The presence and locations of the unexploded ordnance have been derived from graphical representations recorded on NOAA Raster Navigation Charts. These data are intended for coastal and ocean planning."
